design_logic,expected_intent,group_id,query,step,tags,test_type,type
将'能不能吃'改为'能吃吗'，补充假设语境'的话',健康_咨询_一般问答,,正在减肥的话能吃巧克力吗,,[],SYN,SYN
选择现代人高频健康问题构建基础问句,健康_咨询_一般问答,,最近失眠怎么办,,[],BASE,BASE
替换慢性病名称，保持模板完整性,健康_咨询_一般问答,,高血压有哪些常见表现,,[],BASE,BASE
用'期间'明确时间范围，选择争议性水果,健康_咨询_一般问答,,减肥期间可以吃西瓜吗,,[],BASE,BASE
将'怎么办'聚焦到'缓解'，限定解决方向,健康_咨询_一般问答,,最近咳嗽怎么缓解,,[],SYN,SYN
'常见表现'改为'会有什么症状'，添加推测语气词'一般',健康_咨询_一般问答,,贫血一般会有什么症状,,[],SYN,SYN
添加程度副词'老'，'怎么办'方言化为'咋办',健康_咨询_一般问答,,最近老失眠该咋办,,[],SYN,SYN
调换词序，将'有哪些表现'改为'症状有哪些',健康_咨询_一般问答,,高血压常见症状有哪些,,[],SYN,SYN
用'行不行'替代'能不能'，选垃圾食品强化冲突,健康_咨询_一般问答,,减肥吃炸鸡行不行,,[],SYN,SYN
'怎么办'升级为'如何处理'，添加比较级'比较好',健康_咨询_一般问答,,最近腹泻如何处理比较好,,[],SYN,SYN
将'怎么办'转为'解决办法'，添加疑问词'吗',健康_咨询_一般问答,,胃胀气有什么解决办法吗,,[],SYN,SYN
选择复合症状构建基础问句,健康_咨询_一般问答,,最近手脚发冷怎么办,,[],BASE,BASE
'常见表现'改为'典型症状'，突出疾病特征,健康_咨询_一般问答,,痛风有哪些典型症状,,[],SYN,SYN
'减肥'替换为'减脂期'，'能不能'改为'适合',健康_咨询_一般问答,,减脂期适合吃牛肉吗,,[],SYN,SYN
用'该怎么做'替代'怎么办'，添加状态描述'很快',健康_咨询_一般问答,,最近心跳很快该怎么做,,[],SYN,SYN
增加'反应'细化场景，用'通常'替代'常见',健康_咨询_一般问答,,过敏反应通常有什么表现,,[],SYN,SYN
直接替换模板中的{feature}为具体功能，符合用户首次接触新功能时的提问方式,用车_FAQ,,导航怎么用,,[],BASE,BASE
聚焦连接故障场景，采用'怎么办'句式覆盖高频问题,用车_FAQ,,蓝牙连不上怎么办,,[],BASE,BASE
选取语音交互核心功能，使用基础操作动词'唤醒',用车_FAQ,,语音助手怎么唤醒,,[],BASE,BASE
针对个性化设置功能，突出参数调节的核心诉求,用车_FAQ,,氛围灯颜色怎么调,,[],BASE,BASE
省略疑问词强调故障状态，模拟用户直接报错场景,用车_FAQ,,座椅加热打不开,,[],BASE,BASE
将'怎么用'转化为'要怎么操作'，丰富动词表达,用车_FAQ,,导航功能要怎么操作,,[],SYN,SYN
用'一直连接失败'替代'老连不上'，增强问题严重性描述,用车_FAQ,,蓝牙一直连接失败怎么处理,,[],SYN,SYN
添加'数据'细节，契合精准查询的用车需求,用车_FAQ,,胎压监测怎么看数据,,[],SYN,SYN
使用口语化'咋'替代'怎么'，增加地域化表达,用车_FAQ,,车载WiFi总是掉线咋解决,,[],SYN,SYN
去除疑问词采用名词结构，模拟快捷语音指令风格,用车_FAQ,,方向盘加热开启方式,,[],SYN,SYN
选择驾驶相关功能，使用'设置'这个精准操作动词,用车_FAQ,,定速巡航怎么设置,,[],BASE,BASE
省略疑问词描述设备异常，符合用户紧急报障习惯,用车_FAQ,,行车记录仪没反应,,[],BASE,BASE
使用'切换'动词覆盖功能转换场景，保留'如何'句式,用车_FAQ,,如何切换驾驶模式,,[],BASE,BASE
直接陈述现象不提问，模拟用户被动反馈场景,用车_FAQ,,倒车影像不清晰,,[],BASE,BASE
使用位置疑问词'在哪'，覆盖功能定位类问题,用车_FAQ,,车载充电口在哪,,[],BASE,BASE
叠加'开启+使用'双动词，覆盖完整操作链条,用车_FAQ,,定速巡航怎么开启使用,,[],SYN,SYN
用'画面卡顿'替换'没反应'，细化故障表现维度,用车_FAQ,,记录仪画面卡顿咋办,,[],SYN,SYN
将'切换'转化为'调整'，并添加'在哪里'位置引导,用车_FAQ,,驾驶模式在哪里调整,,[],SYN,SYN
添加'倒车时'时间状语，强化场景关联性,用车_FAQ,,倒车时影像模糊怎么处理,,[],SYN,SYN
用'找不到'替代'在哪'，突出用户焦虑心理,用车_FAQ,,手机无线充电位置找不到,,[],SYN,SYN
,播放_音乐,,播放周傑倫的歌,,['NOISE'],NOISE,
,播放_音乐,,呃...播放周杰伦的歌,,['NOISE'],NOISE,
,播放_音乐,,"播放周杰伦的歌,嗯",,['NOISE'],NOISE,
,播放_音乐,,嗯...播放周杰伦的歌,,['NOISE'],NOISE,
,播放_音乐,,那个啥...播放周杰伦的歌,,['NOISE'],NOISE,
,播放_音乐,,来点摇滚音樂,,['NOISE'],NOISE,
,播放_音乐,,嗯...来点摇滚音乐,,['NOISE'],NOISE,
,播放_音乐,,"来点摇滚音乐,然后",,['NOISE'],NOISE,
,播放_音乐,,来点摇滚音乐呀,,['NOISE'],NOISE,
,播放_音乐,,来点摇滚音乐哈,,['NOISE'],NOISE,
,播放_音乐,,请问一下...切到轻松风格,,['NOISE'],NOISE,
,播放_音乐,,切到轻松风格哈,,['NOISE'],NOISE,
,播放_音乐,,请问...切到轻松风格,,['NOISE'],NOISE,
,播放_音乐,,"放首林俊杰的歌曲,嗯",,['NOISE'],NOISE,
,播放_音乐,,"放首林俊杰的歌曲,就是",,['NOISE'],NOISE,
,播放_音乐,,放首林俊杰的歌曲呗,,['NOISE'],NOISE,
,播放_音乐,,放首林俊杰的歌曲啦,,['NOISE'],NOISE,
,播放_音乐,,有没有流行音玥可以听,,['NOISE'],NOISE,
,播放_音乐,,麻烦你...有没有流行音乐可以听,,['NOISE'],NOISE,
,播放_音乐,,请问一下...有没有流行音乐可以听,,['NOISE'],NOISE,
,播放_音乐,,嗯...有没有流行音乐可以听,,['NOISE'],NOISE,
,播放_音乐,,拜托...有没有流行音乐可以听,,['NOISE'],NOISE,
,播放_音乐,,呃...换个悲伤点的风格,,['NOISE'],NOISE,
,播放_音乐,,麻烦你...换个悲伤点的风格,,['NOISE'],NOISE,
,播放_音乐,,那个啥...换个悲伤点的风格,,['NOISE'],NOISE,
,播放_音乐,,诶...换个悲伤点的风格,,['NOISE'],NOISE,
,播放_音乐,,"蔡依林的歌来一首,劳驾",,['NOISE'],NOISE,
,播放_音乐,,"蔡依林的歌来一首,就是",,['NOISE'],NOISE,
,播放_音乐,,蔡依林的歌来一首嘛,,['NOISE'],NOISE,
,播放_音乐,,请问...蔡依林的歌来一首,,['NOISE'],NOISE,
,播放_音乐,,搞点电子音玥听听,,['NOISE'],NOISE,
,播放_音乐,,"搞点电子音乐听听,呃",,['NOISE'],NOISE,
,播放_音乐,,麻烦你...搞点电子音乐听听,,['NOISE'],NOISE,
,播放_音乐,,搞点电子音乐听听呗,,['NOISE'],NOISE,
,播放_音乐,,诶...切换到工作专注模式,,['NOISE'],NOISE,
,播放_音乐,,"切换到工作专注模式,就是",,['NOISE'],NOISE,
,播放_音乐,,切换到工作专注模式哈,,['NOISE'],NOISE,
,播放_音乐,,拜托...切换到工作专注模式,,['NOISE'],NOISE,
,播放_音乐,,"播放泰勒斯威夫特,麻烦你",,['NOISE'],NOISE,
,播放_音乐,,"播放泰勒斯威夫特,诶",,['NOISE'],NOISE,
,播放_音乐,,播放泰勒斯威夫特哈,,['NOISE'],NOISE,
,播放_音乐,,"来些古典乐,嗯",,['NOISE'],NOISE,
,播放_音乐,,劳驾...来些古典乐,,['NOISE'],NOISE,
,播放_音乐,,请问...来些古典乐,,['NOISE'],NOISE,
,播放_音乐,,来些古典乐啦,,['NOISE'],NOISE,
,播放_音乐,,"放点适合开车听的,嗯",,['NOISE'],NOISE,
,播放_音乐,,麻烦你...放点适合开车听的,,['NOISE'],NOISE,
,播放_音乐,,放点适合开车听的呗,,['NOISE'],NOISE,
,播放_音乐,,放点适合开车听的啦,,['NOISE'],NOISE,
,播放_音乐,,然后...切到1980年代风格,,['NOISE'],NOISE,
,播放_音乐,,"切到1980年代风格,嗯",,['NOISE'],NOISE,
,播放_音乐,,那个啥...切到1980年代风格,,['NOISE'],NOISE,
,播放_音乐,,切到1980年代风格哈,,['NOISE'],NOISE,
,播放_音乐,,周傑倫的给我播,,['NOISE'],NOISE,
,播放_音乐,,就是...周杰伦的给我播,,['NOISE'],NOISE,
,播放_音乐,,然后...周杰伦的给我播,,['NOISE'],NOISE,
,播放_音乐,,拜托...周杰伦的给我播,,['NOISE'],NOISE,
,播放_音乐,,请问一下...来首嗨的歌,,['NOISE'],NOISE,
,播放_音乐,,呃...来首嗨的歌,,['NOISE'],NOISE,
,播放_音乐,,就是...来首嗨的歌,,['NOISE'],NOISE,
,播放_音乐,,来首嗨的歌嘛,,['NOISE'],NOISE,
,导航_POI,,"带我去上海东方明珠,麻烦你",,['NOISE'],NOISE,
,导航_POI,,然后...带我去上海东方明珠,,['NOISE'],NOISE,
,导航_POI,,带我去上海东方明珠咯,,['NOISE'],NOISE,
,导航_POI,,诶...带我去上海东方明珠,,['NOISE'],NOISE,
,导航_POI,,劳驾...去北京的天安门广场,,['NOISE'],NOISE,
,导航_POI,,呃...去北京的天安门广场,,['NOISE'],NOISE,
,导航_POI,,就是...去北京的天安门广场,,['NOISE'],NOISE,
,导航_POI,,嗯...去北京的天安门广场,,['NOISE'],NOISE,
,导航_POI,,到航到西湖景区,,['NOISE'],NOISE,
,导航_POI,,拜托啦...导航到西湖景区,,['NOISE'],NOISE,
,导航_POI,,"导航到西湖景区,就是",,['NOISE'],NOISE,
,导航_POI,,导航到西湖景区呗,,['NOISE'],NOISE,
,导航_POI,,然后...带我去深圳世界之窗,,['NOISE'],NOISE,
,导航_POI,,"带我去深圳世界之窗,然后",,['NOISE'],NOISE,
,导航_POI,,带我去深圳世界之窗呗,,['NOISE'],NOISE,
,导航_POI,,带我去深圳世界之窗咯,,['NOISE'],NOISE,
,导航_POI,,劳驾...去成都的宽窄巷子,,['NOISE'],NOISE,
,导航_POI,,"去成都的宽窄巷子,呃",,['NOISE'],NOISE,
,导航_POI,,去成都的宽窄巷子咯,,['NOISE'],NOISE,
,导航_POI,,去成都的宽窄巷子哈,,['NOISE'],NOISE,
,导航_POI,,"我要去广州塔,请问一下",,['NOISE'],NOISE,
,导航_POI,,"我要去广州塔,诶",,['NOISE'],NOISE,
,导航_POI,,我要去广州塔咯,,['NOISE'],NOISE,
,导航_POI,,我要去广州塔呀,,['NOISE'],NOISE,
,导航_POI,,"能帮我导到故宫吗,请问一下",,['NOISE'],NOISE,
,导航_POI,,"能帮我导到故宫吗,那个啥",,['NOISE'],NOISE,
,导航_POI,,那个啥...能帮我导到故宫吗,,['NOISE'],NOISE,
,导航_POI,,请问一下...开车去南京夫子庙,,['NOISE'],NOISE,
,导航_POI,,然后...开车去南京夫子庙,,['NOISE'],NOISE,
,导航_POI,,开车去南京夫子庙嘛,,['NOISE'],NOISE,
,导航_POI,,拜托...开车去南京夫子庙,,['NOISE'],NOISE,
,导航_POI,,能不能到航去西安兵马俑,,['NOISE'],NOISE,
,导航_POI,,"能不能导航去西安兵马俑,然后",,['NOISE'],NOISE,
,导航_POI,,呃...能不能导航去西安兵马俑,,['NOISE'],NOISE,
,导航_POI,,能不能导航去西安兵马俑嘛,,['NOISE'],NOISE,
,导航_POI,,能不能导航去西安兵马俑哈,,['NOISE'],NOISE,
