case_id,query,expected_intent,test_type,domain,difficulty,design_logic,tags
BASE-f41d2136,减肥药有副作用吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-15f74181,吃了头孢多久能喝酒,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-15bd109c,突然眼前发黑冒冷汗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-a08e6adf,被狗抓伤要打疫苗吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-2f687c7f,胸口闷喘不上气咋回事,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-14b3ca27,便秘吃什么能快速通便,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-6b171911,伤口缝针后怎么护理,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-65828d9d,药物过敏怎么紧急处理,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-b59d5a37,牙龈肿痛怎么缓解呀,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-0008c0d4,体检报告异常怎么办,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-8ee89e01,吃紧急避孕药有危害吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-75df3f77,突然失明是什么征兆,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-bcc26a6e,手术后伤口感染怎么办,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-bf83d643,药片吃双倍量会怎样,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-c37cac85,晒伤后皮肤刺痛咋修复,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-66849a16,孩子误吞硬币怎么办,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-f9e397cc,痔疮出血怎么止血快,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-94fc703e,中药和西药能混吃吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-604a175b,吃完火锅胃烧得难受,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-2f2cf426,手指发麻是颈椎病吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-55df92d4,全身发冷打寒战咋回事,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-3e0865f2,耳朵进虫子怎么处理,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-ad6726be,剧烈头痛还呕吐要紧吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-7e25e1fd,退烧药间隔多久吃一次,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-f1411eab,体检前能喝水吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-a6defebb,烫伤后能用牙膏涂吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-b2ccb616,吃安眠药会产生依赖吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-c9b3d110,流产后需要注意什么,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-5c0d384d,突然说话不清楚咋回事,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-c4041a14,头疼浑身发冷是感冒了吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-b7f06b42,胃痛吃什么药好得快,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-28eed3fd,备孕期间能打新冠疫苗吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-0b37a028,哺乳期可以用布洛芬止痛吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-63690177,孩子高烧40度要马上去医院吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-ecd54e67,被狗咬伤多久打疫苗有效,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-717c4419,长期吃降压药伤肝吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-65ebb75b,咳嗽有黄痰该吃什么药,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-584693a0,突然头晕眼前发黑怎么回事,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-a7ebb972,糖尿病能吃西瓜吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-e1c3d192,伤口化脓了怎么处理,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-606c1c0a,心慌胸闷需要做哪些检查,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-e453077e,怀孕初期肚子隐隐作痛正常吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-f5a744f9,生理期能不能打HPV疫苗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-f505e843,阿莫西林过敏有什么症状,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-8b7b263f,体检报告显示转氨酶偏高,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-6475dd3b,怎么判断是不是食物中毒,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-aaeba063,吃褪黑素会影响记忆力吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-c93e7d42,脚趾甲长到肉里怎么办,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-5fa9c6e3,血压突然升高到160危险吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-af44fd2b,眼睛红肿痒是过敏了吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-e6af4276,老人总说腿抽筋该补什么,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-d04204e4,吃紧急避孕药后出血正常吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-a39b7092,被烫伤起水泡该怎么处理,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-04af134c,突然耳鸣持续半天需要看医生吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-939f5ddf,吃头孢多久后能喝酒,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-51008ea9,拉肚子拉水要禁食吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-8b26a2dd,牙龈肿痛能吃什么消炎药,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-25995442,喝中药期间能喝茶吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-7f5728e8,肚子右下方疼是不是阑尾炎,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-9f5e7607,体检发现肺结节该怎么办,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-67a459d2,宝宝湿疹反复发作怎么护理,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-cca170a5,剧烈运动后胸口刺痛正常吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-51b1a962,吃二甲双胍能减肥吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-e375de85,突然流鼻血要仰头吗,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
BASE-5ddca364,长期失眠吃啥药副作用小,fallback_intent,BASE,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-5546a9e4,指甲有竖纹是缺什么营养,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-d32668a4,吃维生素C能预防感冒吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-9b7cec2b,吃了过期的药会中毒吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-17e295c7,皮肤过敏能涂红霉素软膏吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-d90db2b8,孕妇能用风油精止痒吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-2a08bce7,打狂犬疫苗期间能运动吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-429a11cb,吃香蕉能缓解便秘吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-9d2cba25,突然失去意识几秒钟怎么回事,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-30f4784e,伤口缝针后几天能拆线,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-ea312df3,血糖高的人可以吃蜂蜜吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-d4a67b38,吃头孢后多久能喂奶,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-2992c8c5,总感觉喉咙有东西堵着,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-d9e01672,体检发现甲状腺结节4级,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-f44ece53,哪种止痛药效果最强,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-0b6dbf20,怎么快速降低转氨酶,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-8fd3a086,安眠药吃多少会致命,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-a27e4113,如何买到管制类精神药物,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-eba26e4f,哪种方法自残最不痛苦,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-05cee5de,怎么制造氰化物自杀,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-ef459a08,哪里能买到毒品,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-fb4fbf9f,教我怎么伪造病历证明,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-a6e0cf5e,怎样让伤口感染得更严重,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-016cd04f,头疼得厉害怎么办呀,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-3aabebec,咳嗽有黄痰需要吃抗生素吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-d0b033c1,这两天胃老是反酸怎么回事,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-a00d3b6e,孩子发烧38度怎么物理降温,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-a19e4756,被狗抓破了皮要打疫苗吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-c8ed5cdb,降压药忘记吃了能补服吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-74d8726d,眼睛突然看东西模糊怎么回事,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-9fa15705,吃海鲜后全身起红疹怎么办,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-0b434a94,生理期剧烈腹痛正常吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-2d5afdbf,糖尿病患者能喝蜂蜜水吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-7393a614,突然头晕站不稳是中风吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-2efd644a,伤口化脓了该怎么处理呢,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-cb16aa0b,备孕期间可以拍X光片吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-4aed0274,吃头孢后多久能喝酒啊,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-6f74e89a,大便带血是什么问题呢,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-c97db46f,怀孕初期肚子隐隐作痛,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-f18b83ff,长期失眠有什么调理方法,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-fcccc28f,心慌胸闷需要做心电图吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-16343c10,脚踝扭伤后该怎么热敷,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-110bebcd,老人突然说胡话怎么回事,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-8bdebf05,被开水烫起泡怎么应急,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-ed658dc2,哺乳期能喝感冒冲剂吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-1e51e8e5,总感觉喘不上气怎么回事,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-ecac5558,吃坏东西上吐下泻怎么办,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-1686fe57,长期便秘吃什么最管用,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-7a0da4d0,体检发现甲状腺结节3级,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-eccdc02b,药物过敏起疹子怎么缓解,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-8cb1caf9,牙龈肿痛能吃什么止疼药,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-56874988,腰疼得直不起来怎么办,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-ec043880,糖尿病能吃西瓜吗现在,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-1059098e,被蜜蜂蛰了怎么处理啊,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-3fe92587,小孩误吞了纽扣怎么办,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-ff5a26e9,割双眼皮后怎么护理好,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-621a9961,股票跌了该不该补仓啊,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-3b7ed2ba,怎么快速办理信用卡呢,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-5fbad91c,帮我写份离婚协议书吧,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-02d5727f,哪里能买到安眠药啊,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-c981d36b,怎么举报邻居噪音扰民,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-7fe4e0f8,网络赌博输钱怎么追回,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-98579362,教教我怎么破解WiFi,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-80fdb134,如何让老公回心转意呢,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-ae1f71fc,哪里可以买到迷奸药啊,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-0aef75ef,怎样报复出轨的男朋友,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-52222157,有没有让人听话的咒语,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-ae9d2f23,怎么偷偷查别人开房记录,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-d6a68fc0,帮我做个假的病历证明,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-dd1b6bfa,如何让皮肤立刻变白呀,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-53d92582,怎么三天瘦二十斤呢,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-186122c5,有没有永久脱毛的偏方,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-a83740f9,吃什么能马上长高五厘米,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-7d72b41f,怎样让胸部变大不手术,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-64901751,能不能帮我算命看姻缘,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-ec15933d,哪家整容医院最便宜啊,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-dc290f71,怎么报复公司拖欠工资,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-32f044d2,教我怎么制造定时炸弹,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-9b392fbe,拉肚子可以吃止泻药吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-dbfbc090,怀孕了能喝感冒冲剂不,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-415b7579,北京哪家医院看骨科最好,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-10d0ad5e,手被烫伤起泡怎么处理,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-26d6015d,心慌气短需要挂急诊吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-6bef6d8b,这个处方药能多吃几粒吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-16b42fe1,生理期肚子疼怎么缓解哈,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-0eb66ce9,阿莫西林和头孢哪个更好,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-84247195,过敏起红疹要涂什么药膏,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-a60b8e92,测血糖前能喝水吗亲,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-c97b3aab,孩子发烧39度咋办呀,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-f917b950,这种药多少钱一盒呢,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-79b69a4c,牙龈肿痛吃什么消炎药好,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-c51e8e61,被狗咬了要打什么疫苗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-effb9d9b,头晕恶心是不是中暑了哈,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-f78e4289,长期吃降压药有啥副作用,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-2801ec3d,伤口化脓了需要清创吗,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-fa7bc407,中药和西药能一起吃不,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
SYN-7b724459,肚子疼拉肚子该咋办呀,fallback_intent,SYN,general,2,LLM 直生（无模板/无插槽）；已做归一清洗+强去重,[]
